,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
38,SV1YNJ,EURO STOXX 50,"3.200,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
39,SV1YRJ,S&P 500,"3.600,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,880 EUR","9,980 EUR","1,00 %",,Europäisch,Société Générale,
40,SV287S,EURO STOXX 50,"3.200,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,890 EUR","9,990 EUR","1,00 %",,Europäisch,Société Générale,
41,SV9HHH,S&P 500,"3.400,00 Pkt.","5.000,00 Pkt.",17.11.2023,"9,880 EUR","9,980 EUR","1,00 %",,Europäisch,Société Générale,
42,SV1YNH,EURO STOXX 50,"3.200,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,890 EUR","9,990 EUR","1,00 %",,Europäisch,Société Générale,
43,SV1YRH,S&P 500,"3.600,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,890 EUR","9,990 EUR","1,00 %",,Europäisch,Société Générale,
44,SV1YRG,S&P 500,"3.600,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,890 EUR","9,990 EUR","1,00 %",,Europäisch,Société Générale,
45,SV1YRB,S&P 500,"3.400,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,900 EUR","10,000 EUR","1,00 %",,Europäisch,Société Générale,
46,SV20ZT,S&P 500,"3.600,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,880 EUR","9,980 EUR","1,00 %",,Europäisch,Société Générale,
47,SV6GL9,S&P 500,"3.200,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,870 EUR","9,970 EUR","1,00 %",,Europäisch,Société Générale,
48,SV1YNL,EURO STOXX 50,"3.400,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,860 EUR","9,960 EUR","1,00 %",,Europäisch,Société Générale,
49,SV1YNN,EURO STOXX 50,"3.400,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,860 EUR","9,960 EUR","1,00 %",,Europäisch,Société Générale,
50,SV1YNM,EURO STOXX 50,"3.400,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,860 EUR","9,960 EUR","1,00 %",,Europäisch,Société Générale,
51,SV287T,EURO STOXX 50,"3.400,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,860 EUR","9,960 EUR","1,00 %",,Europäisch,Société Générale,
52,SV20ZX,S&P 500,"3.800,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,840 EUR","9,940 EUR","1,01 %",,Europäisch,Société Générale,
53,SQ828S,EURO STOXX 50,"3.500,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,850 EUR","9,950 EUR","1,01 %",,Europäisch,Société Générale,
54,SV20ZV,S&P 500,"3.800,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,850 EUR","9,950 EUR","1,01 %",,Europäisch,Société Générale,
55,SV20ZW,S&P 500,"3.800,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,850 EUR","9,950 EUR","1,01 %",,Europäisch,Société Générale,
56,SV20ZY,S&P 500,"3.800,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,850 EUR","9,950 EUR","1,01 %",,Europäisch,Société Générale,
57,SV6GL3,S&P 500,"3.000,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,800 EUR","9,900 EUR","1,01 %",,Europäisch,Société Générale,
58,SV6GMD,S&P 500,"3.400,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,830 EUR","9,930 EUR","1,01 %",,Europäisch,Société Générale,
59,SV6GME,S&P 500,"3.400,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,830 EUR","9,930 EUR","1,01 %",,Europäisch,Société Générale,
60,SV1W3P,EURO STOXX 50,"2.600,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,830 EUR","9,930 EUR","1,01 %",,Europäisch,Société Générale,
61,SV23Y8,Prosus,"40,000 EUR","80,000 EUR",15.09.2023,"9,840 EUR","9,940 EUR","1,006 %",,Europäisch,Société Générale,
62,SV23ZC,Prosus,"50,000 EUR","90,000 EUR",15.09.2023,"9,810 EUR","9,910 EUR","1,009 %",,Europäisch,Société Générale,
