,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
161,SV1W3R,EURO STOXX 50,"2.800,00 Pkt.","4.800,00 Pkt.",15.12.2023,"9,150 EUR","9,250 EUR","1,08 %",,Europäisch,Société Générale,
162,SV9A4T,EURO STOXX 50,"3.600,00 Pkt.","5.200,00 Pkt.",17.11.2023,"9,240 EUR","9,340 EUR","1,07 %",,Europäisch,Société Générale,
163,SW143A,S&P 500,"3.200,00 Pkt.","5.200,00 Pkt.",15.03.2024,"9,180 EUR","9,280 EUR","1,08 %",,Europäisch,Société Générale,
164,SV1W3M,EURO STOXX 50,"2.600,00 Pkt.","4.800,00 Pkt.",15.12.2023,"9,180 EUR","9,280 EUR","1,08 %",,Europäisch,Société Générale,
165,SV9A4U,EURO STOXX 50,"3.600,00 Pkt.","5.400,00 Pkt.",17.11.2023,"9,250 EUR","9,350 EUR","1,07 %",,Europäisch,Société Générale,
166,SW143J,S&P 500,"3.400,00 Pkt.","5.600,00 Pkt.",15.03.2024,"9,180 EUR","9,280 EUR","1,08 %",,Europäisch,Société Générale,
167,SW143H,S&P 500,"3.400,00 Pkt.","5.400,00 Pkt.",15.03.2024,"9,180 EUR","9,280 EUR","1,08 %",,Europäisch,Société Générale,
168,SW143K,S&P 500,"3.400,00 Pkt.","5.800,00 Pkt.",15.03.2024,"9,180 EUR","9,280 EUR","1,08 %",,Europäisch,Société Générale,
169,SW143L,S&P 500,"3.400,00 Pkt.","6.000,00 Pkt.",15.03.2024,"9,180 EUR","9,280 EUR","1,08 %",,Europäisch,Société Générale,
170,SV69CM,S&P 500,"4.000,00 Pkt.","5.400,00 Pkt.",20.10.2023,"9,140 EUR","9,240 EUR","1,08 %",,Europäisch,Société Générale,
171,SV1W3U,EURO STOXX 50,"3.000,00 Pkt.","4.800,00 Pkt.",15.12.2023,"9,100 EUR","9,200 EUR","1,09 %",,Europäisch,Société Générale,
172,SV6LMW,S&P 500,"4.000,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,140 EUR","9,240 EUR","1,08 %",,Europäisch,Société Générale,
173,SV6LMX,S&P 500,"4.000,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,140 EUR","9,240 EUR","1,08 %",,Europäisch,Société Générale,
174,SV6LMV,S&P 500,"4.000,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,090 EUR","9,190 EUR","1,09 %",,Europäisch,Société Générale,
175,SV4330,S&P 500,"3.800,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,040 EUR","9,140 EUR","1,09 %",,Europäisch,Société Générale,
176,SV6LM2,S&P 500,"3.800,00 Pkt.","5.600,00 Pkt.",15.12.2023,"9,030 EUR","9,130 EUR","1,10 %",,Europäisch,Société Générale,
177,SV9A4R,EURO STOXX 50,"3.600,00 Pkt.","4.800,00 Pkt.",17.11.2023,"9,030 EUR","9,130 EUR","1,10 %",,Europäisch,Société Générale,
178,SV1W34,EURO STOXX 50,"3.600,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,060 EUR","9,160 EUR","1,09 %",,Europäisch,Société Générale,
179,SV1W35,EURO STOXX 50,"3.600,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,070 EUR","9,170 EUR","1,09 %",,Europäisch,Société Générale,
180,SV4331,S&P 500,"3.800,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,040 EUR","9,140 EUR","1,09 %",,Europäisch,Société Générale,
181,SV48LJ,EURO STOXX 50,"3.600,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,070 EUR","9,170 EUR","1,09 %",,Europäisch,Société Générale,
182,SV9S8E,S&P 500,"3.800,00 Pkt.","6.000,00 Pkt.",15.12.2023,"9,040 EUR","9,140 EUR","1,09 %",,Europäisch,Société Générale,
183,SV1W3X,EURO STOXX 50,"3.200,00 Pkt.","4.800,00 Pkt.",15.12.2023,"9,000 EUR","9,100 EUR","1,10 %",,Europäisch,Société Générale,
184,SV9ED6,S&P 500,"3.800,00 Pkt.","5.800,00 Pkt.",15.12.2023,"9,040 EUR","9,140 EUR","1,09 %",,Europäisch,Société Générale,
185,SV6GJE,EURO STOXX 50,"3.800,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,030 EUR","9,130 EUR","1,10 %",,Europäisch,Société Générale,
186,SW143G,S&P 500,"3.400,00 Pkt.","5.200,00 Pkt.",15.03.2024,"9,000 EUR","9,100 EUR","1,10 %",,Europäisch,Société Générale,
187,SV4332,S&P 500,"3.800,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,040 EUR","9,140 EUR","1,09 %",,Europäisch,Société Générale,
188,SV6GJD,EURO STOXX 50,"3.800,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,020 EUR","9,120 EUR","1,10 %",,Europäisch,Société Générale,
189,SV6JUW,EURO STOXX 50,"3.800,00 Pkt.","5.400,00 Pkt.",20.10.2023,"9,030 EUR","9,130 EUR","1,10 %",,Europäisch,Société Générale,
190,SW14ZP,EURO STOXX 50,"3.000,00 Pkt.","5.000,00 Pkt.",15.03.2024,"8,960 EUR","9,060 EUR","1,10 %",,Europäisch,Société Générale,
191,SV6GJF,EURO STOXX 50,"3.800,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,030 EUR","9,130 EUR","1,10 %",,Europäisch,Société Générale,
192,SW14Z1,EURO STOXX 50,"3.400,00 Pkt.","5.400,00 Pkt.",15.03.2024,"8,980 EUR","9,080 EUR","1,10 %",,Europäisch,Société Générale,
193,SW14Z0,EURO STOXX 50,"3.400,00 Pkt.","5.200,00 Pkt.",15.03.2024,"8,940 EUR","9,040 EUR","1,11 %",,Europäisch,Société Générale,
194,SW143Q,S&P 500,"3.600,00 Pkt.","5.400,00 Pkt.",15.03.2024,"8,880 EUR","8,980 EUR","1,11 %",,Europäisch,Société Générale,
195,SW143S,S&P 500,"3.600,00 Pkt.","5.800,00 Pkt.",15.03.2024,"8,870 EUR","8,970 EUR","1,11 %",,Europäisch,Société Générale,
196,SW143T,S&P 500,"3.600,00 Pkt.","6.000,00 Pkt.",15.03.2024,"8,870 EUR","8,970 EUR","1,11 %",,Europäisch,Société Générale,
197,SV1W30,EURO STOXX 50,"3.400,00 Pkt.","4.800,00 Pkt.",15.12.2023,"8,800 EUR","8,900 EUR","1,12 %",,Europäisch,Société Générale,
198,SW143R,S&P 500,"3.600,00 Pkt.","5.600,00 Pkt.",15.03.2024,"8,880 EUR","8,980 EUR","1,11 %",,Europäisch,Société Générale,
199,SV9HHD,S&P 500,"3.200,00 Pkt.","4.800,00 Pkt.",17.11.2023,"8,730 EUR","8,830 EUR","1,13 %",,Europäisch,Société Générale,
200,SW14ZU,EURO STOXX 50,"3.200,00 Pkt.","5.000,00 Pkt.",15.03.2024,"8,760 EUR","8,860 EUR","1,13 %",,Europäisch,Société Générale,
201,SV9HH0,S&P 500,"4.000,00 Pkt.","5.600,00 Pkt.",17.11.2023,"8,730 EUR","8,830 EUR","1,13 %",,Europäisch,Société Générale,
202,SV9HHX,S&P 500,"4.000,00 Pkt.","5.000,00 Pkt.",17.11.2023,"8,730 EUR","8,830 EUR","1,13 %",,Europäisch,Société Générale,
203,SV9HHY,S&P 500,"4.000,00 Pkt.","5.200,00 Pkt.",17.11.2023,"8,730 EUR","8,830 EUR","1,13 %",,Europäisch,Société Générale,
204,SV9HHG,S&P 500,"3.400,00 Pkt.","4.800,00 Pkt.",17.11.2023,"8,670 EUR","8,770 EUR","1,14 %",,Europäisch,Société Générale,
205,SW143P,S&P 500,"3.600,00 Pkt.","5.200,00 Pkt.",15.03.2024,"8,690 EUR","8,790 EUR","1,14 %",,Europäisch,Société Générale,
206,SV9HHZ,S&P 500,"4.000,00 Pkt.","5.400,00 Pkt.",17.11.2023,"8,730 EUR","8,830 EUR","1,13 %",,Europäisch,Société Générale,
207,SV6CCJ,EURO STOXX 50,"4.000,00 Pkt.","4.600,00 Pkt.",15.09.2023,"8,640 EUR","8,740 EUR","1,14 %",,Europäisch,Société Générale,
208,SV9A4X,EURO STOXX 50,"3.800,00 Pkt.","5.000,00 Pkt.",17.11.2023,"8,650 EUR","8,750 EUR","1,14 %",,Europäisch,Société Générale,
209,SV9A4Y,EURO STOXX 50,"3.800,00 Pkt.","5.200,00 Pkt.",17.11.2023,"8,650 EUR","8,750 EUR","1,14 %",,Europäisch,Société Générale,
210,SV9A4Z,EURO STOXX 50,"3.800,00 Pkt.","5.400,00 Pkt.",17.11.2023,"8,650 EUR","8,750 EUR","1,14 %",,Europäisch,Société Générale,
211,SV9HHK,S&P 500,"3.600,00 Pkt.","4.800,00 Pkt.",17.11.2023,"8,540 EUR","8,640 EUR","1,16 %",,Europäisch,Société Générale,
212,,,,,,,,,,,,
213,SV202J,EURO STOXX 50,"4.000,00 Pkt.","5.200,00 Pkt.",15.09.2023,"8,520 EUR","8,620 EUR","1,16 %",,Europäisch,Société Générale,
214,SV1W33,EURO STOXX 50,"3.600,00 Pkt.","4.800,00 Pkt.",15.12.2023,"8,440 EUR","8,540 EUR","1,17 %",,Europäisch,Société Générale,
215,SV7L70,Prosus,"50,000 EUR","100,000 EUR",15.12.2023,"8,490 EUR","8,590 EUR","1,164 %",,Europäisch,Société Générale,
216,SW14ZZ,EURO STOXX 50,"3.400,00 Pkt.","5.000,00 Pkt.",15.03.2024,"8,450 EUR","8,550 EUR","1,17 %",,Europäisch,Société Générale,
217,SV202G,EURO STOXX 50,"4.000,00 Pkt.","4.800,00 Pkt.",15.09.2023,"8,530 EUR","8,630 EUR","1,16 %",,Europäisch,Société Générale,
218,SW14Z6,EURO STOXX 50,"3.600,00 Pkt.","5.400,00 Pkt.",15.03.2024,"8,470 EUR","8,570 EUR","1,17 %",,Europäisch,Société Générale,
219,SV202H,EURO STOXX 50,"4.000,00 Pkt.","5.000,00 Pkt.",15.09.2023,"8,520 EUR","8,620 EUR","1,16 %",,Europäisch,Société Générale,
220,SV287W,EURO STOXX 50,"4.000,00 Pkt.","5.400,00 Pkt.",15.09.2023,"8,530 EUR","8,630 EUR","1,16 %",,Europäisch,Société Générale,
221,SV9A4W,EURO STOXX 50,"3.800,00 Pkt.","4.800,00 Pkt.",17.11.2023,"8,440 EUR","8,540 EUR","1,17 %",,Europäisch,Société Générale,
222,SW14Z5,EURO STOXX 50,"3.600,00 Pkt.","5.200,00 Pkt.",15.03.2024,"8,430 EUR","8,530 EUR","1,17 %",,Europäisch,Société Générale,
223,SQ828P,EURO STOXX 50,"3.000,00 Pkt.","4.500,00 Pkt.",15.09.2023,"8,170 EUR","8,270 EUR","1,21 %",,Europäisch,Société Générale,
224,SV6GH0,EURO STOXX 50,"3.200,00 Pkt.","4.600,00 Pkt.",20.10.2023,"8,260 EUR","8,360 EUR","1,20 %",,Europäisch,Société Générale,
225,SV69CR,S&P 500,"4.000,00 Pkt.","5.400,00 Pkt.",15.12.2023,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
226,SV9HHR,S&P 500,"3.800,00 Pkt.","4.800,00 Pkt.",17.11.2023,"8,270 EUR","8,370 EUR","1,19 %",,Europäisch,Société Générale,
227,SW143X,S&P 500,"3.800,00 Pkt.","5.400,00 Pkt.",15.03.2024,"8,370 EUR","8,470 EUR","1,18 %",,Europäisch,Société Générale,
228,SW143Z,S&P 500,"3.800,00 Pkt.","5.800,00 Pkt.",15.03.2024,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
229,SW1430,S&P 500,"3.800,00 Pkt.","6.000,00 Pkt.",15.03.2024,"8,350 EUR","8,450 EUR","1,18 %",,Europäisch,Société Générale,
230,SV1W37,EURO STOXX 50,"3.800,00 Pkt.","5.200,00 Pkt.",15.12.2023,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
231,SV69CP,S&P 500,"4.000,00 Pkt.","5.000,00 Pkt.",15.12.2023,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
232,SW143Y,S&P 500,"3.800,00 Pkt.","5.600,00 Pkt.",15.03.2024,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
233,SV7L7W,Prosus,"40,000 EUR","80,000 EUR",15.12.2023,"8,300 EUR","8,400 EUR","1,190 %",,Europäisch,Société Générale,
234,SV9ED7,S&P 500,"4.000,00 Pkt.","5.800,00 Pkt.",15.12.2023,"8,370 EUR","8,470 EUR","1,18 %",,Europäisch,Société Générale,
235,SV9S8F,S&P 500,"4.000,00 Pkt.","6.000,00 Pkt.",15.12.2023,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
236,SV1W36,EURO STOXX 50,"3.800,00 Pkt.","5.000,00 Pkt.",15.12.2023,"8,350 EUR","8,450 EUR","1,18 %",,Europäisch,Société Générale,
237,SV7L7Z,Prosus,"50,000 EUR","90,000 EUR",15.12.2023,"8,310 EUR","8,410 EUR","1,189 %",,Europäisch,Société Générale,
238,SV48LK,EURO STOXX 50,"3.800,00 Pkt.","5.400,00 Pkt.",15.12.2023,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
239,SV69CS,S&P 500,"4.000,00 Pkt.","5.600,00 Pkt.",15.12.2023,"8,360 EUR","8,460 EUR","1,18 %",,Europäisch,Société Générale,
240,SV69CQ,S&P 500,"4.000,00 Pkt.","5.200,00 Pkt.",15.12.2023,"8,370 EUR","8,470 EUR","1,18 %",,Europäisch,Société Générale,
241,SV6GH4,EURO STOXX 50,"3.400,00 Pkt.","4.600,00 Pkt.",20.10.2023,"8,180 EUR","8,280 EUR","1,21 %",,Europäisch,Société Générale,
242,SW1RS2,EURO STOXX 50,"3.800,00 Pkt.","5.600,00 Pkt.",15.12.2023,"8,350 EUR","8,450 EUR","1,18 %",,Europäisch,Société Générale,
243,SW143W,S&P 500,"3.800,00 Pkt.","5.200,00 Pkt.",15.03.2024,"8,160 EUR","8,260 EUR","1,21 %",,Europäisch,Société Générale,
244,SV6GH8,EURO STOXX 50,"3.600,00 Pkt.","4.600,00 Pkt.",20.10.2023,"7,980 EUR","8,080 EUR","1,24 %",,Europäisch,Société Générale,
245,SV9HHB,S&P 500,"4.200,00 Pkt.","5.400,00 Pkt.",20.10.2023,"7,970 EUR","8,070 EUR","1,24 %",,Europäisch,Société Générale,
246,SV9HG9,S&P 500,"4.200,00 Pkt.","5.000,00 Pkt.",20.10.2023,"7,970 EUR","8,070 EUR","1,24 %",,Europäisch,Société Générale,
247,SV9HHA,S&P 500,"4.200,00 Pkt.","5.200,00 Pkt.",20.10.2023,"7,970 EUR","8,070 EUR","1,24 %",,Europäisch,Société Générale,
248,SW14Z4,EURO STOXX 50,"3.600,00 Pkt.","5.000,00 Pkt.",15.03.2024,"7,930 EUR","8,030 EUR","1,25 %",,Europäisch,Société Générale,
249,SV9HG8,S&P 500,"4.200,00 Pkt.","4.800,00 Pkt.",20.10.2023,"7,890 EUR","7,990 EUR","1,25 %",,Europäisch,Société Générale,
250,SV6JUX,EURO STOXX 50,"4.000,00 Pkt.","5.400,00 Pkt.",20.10.2023,"7,910 EUR","8,010 EUR","1,25 %",,Europäisch,Société Générale,
251,SV6GJG,EURO STOXX 50,"4.000,00 Pkt.","4.800,00 Pkt.",20.10.2023,"7,890 EUR","7,990 EUR","1,25 %",,Europäisch,Société Générale,
252,SV23ZG,Prosus,"60,000 EUR","100,000 EUR",15.09.2023,"7,920 EUR","8,020 EUR","1,247 %",,Europäisch,Société Générale,
253,SV23ZF,Prosus,"60,000 EUR","90,000 EUR",15.09.2023,"7,920 EUR","8,020 EUR","1,247 %",,Europäisch,Société Générale,
254,SW1425,S&P 500,"3.000,00 Pkt.","5.000,00 Pkt.",15.03.2024,"7,710 EUR","7,810 EUR","1,28 %",,Europäisch,Société Générale,
255,SV6GJJ,EURO STOXX 50,"4.000,00 Pkt.","5.200,00 Pkt.",20.10.2023,"7,910 EUR","8,010 EUR","1,25 %",,Europäisch,Société Générale,
256,SV6GJH,EURO STOXX 50,"4.000,00 Pkt.","5.000,00 Pkt.",20.10.2023,"7,910 EUR","8,010 EUR","1,25 %",,Europäisch,Société Générale,
257,SV43ZW,EURO STOXX 50,"3.800,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,750 EUR","7,850 EUR","1,27 %",,Europäisch,Société Générale,
258,SV9HHW,S&P 500,"4.000,00 Pkt.","4.800,00 Pkt.",17.11.2023,"7,680 EUR","7,780 EUR","1,29 %",,Europäisch,Société Générale,
259,SV1W15,S&P 500,"2.400,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,620 EUR","7,720 EUR","1,30 %",,Europäisch,Société Générale,
260,SV1W2A,S&P 500,"2.600,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,600 EUR","7,700 EUR","1,30 %",,Europäisch,Société Générale,
261,SW1429,S&P 500,"3.200,00 Pkt.","5.000,00 Pkt.",15.03.2024,"7,590 EUR","7,690 EUR","1,30 %",,Europäisch,Société Générale,
262,SV23ZE,Prosus,"60,000 EUR","80,000 EUR",15.09.2023,"7,830 EUR","7,930 EUR","1,261 %",,Europäisch,Société Générale,
263,SV1W2N,S&P 500,"3.200,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,490 EUR","7,590 EUR","1,32 %",,Europäisch,Société Générale,
264,SV1W2E,S&P 500,"2.800,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,580 EUR","7,680 EUR","1,30 %",,Europäisch,Société Générale,
265,SV1W2J,S&P 500,"3.000,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,540 EUR","7,640 EUR","1,31 %",,Europäisch,Société Générale,
266,SW140A,EURO STOXX 50,"3.800,00 Pkt.","5.400,00 Pkt.",15.03.2024,"7,600 EUR","7,700 EUR","1,30 %",,Europäisch,Société Générale,
267,SW14Z9,EURO STOXX 50,"3.800,00 Pkt.","5.200,00 Pkt.",15.03.2024,"7,550 EUR","7,650 EUR","1,31 %",,Europäisch,Société Générale,
268,SW143F,S&P 500,"3.400,00 Pkt.","5.000,00 Pkt.",15.03.2024,"7,400 EUR","7,500 EUR","1,33 %",,Europäisch,Société Générale,
269,SW1436,S&P 500,"4.000,00 Pkt.","6.000,00 Pkt.",15.03.2024,"7,460 EUR","7,560 EUR","1,32 %",,Europäisch,Société Générale,
270,SW1435,S&P 500,"4.000,00 Pkt.","5.800,00 Pkt.",15.03.2024,"7,460 EUR","7,560 EUR","1,32 %",,Europäisch,Société Générale,
271,SW1433,S&P 500,"4.000,00 Pkt.","5.400,00 Pkt.",15.03.2024,"7,460 EUR","7,560 EUR","1,32 %",,Europäisch,Société Générale,
272,SV1W2R,S&P 500,"3.400,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,380 EUR","7,480 EUR","1,34 %",,Europäisch,Société Générale,
273,SW1434,S&P 500,"4.000,00 Pkt.","5.600,00 Pkt.",15.03.2024,"7,470 EUR","7,570 EUR","1,32 %",,Europäisch,Société Générale,
274,SV9HH2,S&P 500,"4.200,00 Pkt.","5.000,00 Pkt.",17.11.2023,"7,390 EUR","7,490 EUR","1,34 %",,Europäisch,Société Générale,
275,SV9HH4,S&P 500,"4.200,00 Pkt.","5.400,00 Pkt.",17.11.2023,"7,380 EUR","7,480 EUR","1,34 %",,Europäisch,Société Générale,
276,SV9HH5,S&P 500,"4.200,00 Pkt.","5.600,00 Pkt.",17.11.2023,"7,380 EUR","7,480 EUR","1,34 %",,Europäisch,Société Générale,
277,SV9A44,EURO STOXX 50,"4.000,00 Pkt.","5.400,00 Pkt.",17.11.2023,"7,370 EUR","7,470 EUR","1,34 %",,Europäisch,Société Générale,
278,SV7L7Y,Prosus,"50,000 EUR","80,000 EUR",15.12.2023,"7,290 EUR","7,390 EUR","1,353 %",,Europäisch,Société Générale,
279,SV9HH3,S&P 500,"4.200,00 Pkt.","5.200,00 Pkt.",17.11.2023,"7,380 EUR","7,480 EUR","1,34 %",,Europäisch,Société Générale,
280,SV9A42,EURO STOXX 50,"4.000,00 Pkt.","5.000,00 Pkt.",17.11.2023,"7,370 EUR","7,470 EUR","1,34 %",,Europäisch,Société Générale,
281,SV9A43,EURO STOXX 50,"4.000,00 Pkt.","5.200,00 Pkt.",17.11.2023,"7,380 EUR","7,480 EUR","1,34 %",,Europäisch,Société Générale,
282,SV1W2U,S&P 500,"3.600,00 Pkt.","4.800,00 Pkt.",15.12.2023,"7,210 EUR","7,310 EUR","1,37 %",,Europäisch,Société Générale,
283,SW1432,S&P 500,"4.000,00 Pkt.","5.200,00 Pkt.",15.03.2024,"7,250 EUR","7,350 EUR","1,36 %",,Europäisch,Société Générale,
284,SV9A4K,EURO STOXX 50,"3.200,00 Pkt.","4.600,00 Pkt.",17.11.2023,"7,030 EUR","7,130 EUR","1,40 %",,Europäisch,Société Générale,
285,SW14ZN,EURO STOXX 50,"3.000,00 Pkt.","4.800,00 Pkt.",15.03.2024,"7,110 EUR","7,210 EUR","1,39 %",,Europäisch,Société Générale,
286,SQ828R,EURO STOXX 50,"3.500,00 Pkt.","4.500,00 Pkt.",15.09.2023,"6,950 EUR","7,050 EUR","1,42 %",,Europäisch,Société Générale,
287,SW143N,S&P 500,"3.600,00 Pkt.","5.000,00 Pkt.",15.03.2024,"7,080 EUR","7,180 EUR","1,39 %",,Europäisch,Société Générale,
288,SV9A41,EURO STOXX 50,"4.000,00 Pkt.","4.800,00 Pkt.",17.11.2023,"7,140 EUR","7,240 EUR","1,38 %",,Europäisch,Société Générale,
289,SW14Z8,EURO STOXX 50,"3.800,00 Pkt.","5.000,00 Pkt.",15.03.2024,"7,040 EUR","7,140 EUR","1,40 %",,Europäisch,Société Générale,
290,SV9A4M,EURO STOXX 50,"3.400,00 Pkt.","4.600,00 Pkt.",17.11.2023,"6,890 EUR","6,990 EUR","1,43 %",,Europäisch,Société Générale,
291,SW1RS3,EURO STOXX 50,"4.000,00 Pkt.","5.600,00 Pkt.",15.12.2023,"6,990 EUR","7,090 EUR","1,41 %",,Europäisch,Société Générale,
292,SW14ZT,EURO STOXX 50,"3.200,00 Pkt.","4.800,00 Pkt.",15.03.2024,"6,910 EUR","7,010 EUR","1,43 %",,Europäisch,Société Générale,
293,SV43ZY,EURO STOXX 50,"4.000,00 Pkt.","5.200,00 Pkt.",15.12.2023,"6,980 EUR","7,080 EUR","1,41 %",,Europäisch,Société Générale,
294,SV9S8M,S&P 500,"4.200,00 Pkt.","6.000,00 Pkt.",15.12.2023,"6,910 EUR","7,010 EUR","1,43 %",,Europäisch,Société Générale,
295,SV433Z,S&P 500,"3.800,00 Pkt.","4.800,00 Pkt.",15.12.2023,"6,850 EUR","6,950 EUR","1,44 %",,Europäisch,Société Générale,
296,SV43ZX,EURO STOXX 50,"4.000,00 Pkt.","5.000,00 Pkt.",15.12.2023,"6,980 EUR","7,080 EUR","1,41 %",,Europäisch,Société Générale,
297,SV9S8L,S&P 500,"4.200,00 Pkt.","5.600,00 Pkt.",15.12.2023,"6,910 EUR","7,010 EUR","1,43 %",,Europäisch,Société Générale,
298,SV48LL,EURO STOXX 50,"4.000,00 Pkt.","5.400,00 Pkt.",15.12.2023,"6,990 EUR","7,090 EUR","1,41 %",,Europäisch,Société Générale,
299,SV9ED8,S&P 500,"4.200,00 Pkt.","5.800,00 Pkt.",15.12.2023,"6,900 EUR","7,000 EUR","1,43 %",,Europäisch,Société Générale,
300,SV9S8J,S&P 500,"4.200,00 Pkt.","5.200,00 Pkt.",15.12.2023,"6,910 EUR","7,010 EUR","1,43 %",,Europäisch,Société Générale,
301,SV9S8H,S&P 500,"4.200,00 Pkt.","5.000,00 Pkt.",15.12.2023,"6,900 EUR","7,000 EUR","1,43 %",,Europäisch,Société Générale,
302,SV9S8K,S&P 500,"4.200,00 Pkt.","5.400,00 Pkt.",15.12.2023,"6,910 EUR","7,010 EUR","1,43 %",,Europäisch,Société Générale,
303,SV9A4Q,EURO STOXX 50,"3.600,00 Pkt.","4.600,00 Pkt.",17.11.2023,"6,590 EUR","6,690 EUR","1,49 %",,Europäisch,Société Générale,
304,SW14ZY,EURO STOXX 50,"3.400,00 Pkt.","4.800,00 Pkt.",15.03.2024,"6,600 EUR","6,700 EUR","1,49 %",,Europäisch,Société Générale,
305,SW143V,S&P 500,"3.800,00 Pkt.","5.000,00 Pkt.",15.03.2024,"6,550 EUR","6,650 EUR","1,50 %",,Europäisch,Société Générale,
306,SQ8THA,Ölpreis WTI,"35,000 USD","100,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
307,SQ8THX,Ölpreis WTI,"50,000 USD","110,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
308,SQ8THP,Ölpreis WTI,"45,000 USD","100,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
309,SQ8TG9,Ölpreis WTI,"35,000 USD","95,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
310,SQ8THH,Ölpreis WTI,"40,000 USD","100,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
311,SQ8THC,Ölpreis WTI,"35,000 USD","110,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
312,SQ8THL,Ölpreis WTI,"40,000 USD","115,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
313,,,,,,,,,,,,
314,SQ8THG,Ölpreis WTI,"40,000 USD","95,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
315,SQ8THQ,Ölpreis WTI,"45,000 USD","105,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
316,SQ8THW,Ölpreis WTI,"50,000 USD","105,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
317,SQ8THV,Ölpreis WTI,"50,000 USD","100,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
318,SQ8THD,Ölpreis WTI,"35,000 USD","115,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
319,SQ8THY,Ölpreis WTI,"50,000 USD","115,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
320,SQ8THK,Ölpreis WTI,"40,000 USD","110,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
321,SQ8THR,Ölpreis WTI,"45,000 USD","110,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
322,SQ8THU,Ölpreis WTI,"50,000 USD","95,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
323,SQ8THJ,Ölpreis WTI,"40,000 USD","105,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
324,SQ8THB,Ölpreis WTI,"35,000 USD","105,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
325,SQ8THN,Ölpreis WTI,"45,000 USD","95,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
326,SQ8THS,Ölpreis WTI,"45,000 USD","115,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
327,SQ8TH1,Ölpreis WTI,"55,000 USD","100,000 USD",15.09.2023,"9,850 EUR","10,000 EUR","1,500 %",,Europäisch,Société Générale,
